id,date,time,timezone,tweet,replies_count,retweets_count,likes_count,hashtags,retweet
1267749223790981121,2020-06-02,11:25:43,CEST,"Is Binomo Trade a scam, what's your advise? #wizkid #AmericaOrTrump #BlackLivesMatter #UnpredicatableTacha #Anomymous #whyididntreport #justiceforjennifer #JusticeForUwa",0,0,0,"['#wizkid', '#americaortrump', '#blacklivesmatter', '#unpredicatabletacha', '#anomymous', '#whyididntreport', '#justiceforjennifer', '#justiceforuwa']",False
1267749208389541890,2020-06-02,11:25:39,CEST,We need a version of the #bullshit term #AntiFa - but for #fascists! HumanScum isnt catchy. MurderousPiecesOfShit is too long. Any ideas? #2020protests #IAmAntifascist #BlackLivesMatter #RightWingDeathSquads #conservatives #AmericaOrTrump #TrumpIncitesViolence #FuckRacists,0,0,0,"['#bullshit', '#antifa', '#fascists', '#2020protests', '#iamantifascist', '#blacklivesmatter', '#rightwingdeathsquads', '#conservatives', '#americaortrump', '#trumpincitesviolence', '#fuckracists']",False
1267749202819457025,2020-06-02,11:25:38,CEST,Biggest democracy and protector of human rights exposed  #AmericaOrTrump,0,0,0,['#americaortrump'],False
1267749197383634946,2020-06-02,11:25:36,CEST,really Mr. President ? does your so beloved capitalism stand for total control of your citizents ? you promise justicse for #GeorgeFloyd yet u strive to put in jail all the protestors #Hypocrisy #AmericaOrTrump  https://twitter.com/realdonaldtrump/status/1267609190140436481,0,0,0,"['#georgefloyd', '#hypocrisy', '#americaortrump']",False
1267749178530291712,2020-06-02,11:25:32,CEST,"Donald Trump ist kein lustiger Kerl, der die Witzfigur der Nation ist. Er gefhrdet (und beendet) Menschenleben und ist eine der grten Gefahren fr die Menschlichkeit und die gegenseitige Akzeptanz. #AmericaOrTrump",0,0,0,['#americaortrump'],False
1267749177485910018,2020-06-02,11:25:32,CEST,The gods are angry with the Trump administration #AmericaOrTrump,0,0,1,['#americaortrump'],False
1267749174386229248,2020-06-02,11:25:31,CEST,In solidarity with my brothers and sister Im blacking our all my social media #BlackLivesMatter #AmericaOrTrump #BlackOutTuesday #NewProfilePic pic.twitter.com/JhSXoHVOOv,0,0,0,"['#blacklivesmatter', '#americaortrump', '#blackouttuesday', '#newprofilepic']",False
1267749149656694785,2020-06-02,11:25:25,CEST,"Even if someone wrote the perfect words for him to say he would stand there and read it in a monotone manner and sound like a 12 year old being forced to apologize to his sister. 
#AmericaOrTrump",0,0,0,['#americaortrump'],False
1267749145948946434,2020-06-02,11:25:24,CEST,"Zulm ebedi olamaz...

#AmericaOrTrump  pic.twitter.com/IemC6OiBrl",0,0,0,['#americaortrump'],False
1267749134867578881,2020-06-02,11:25:22,CEST,"The pro 2A crowd must have blown their minds by now. They should be rising in armed revolt against tyrannical authorities ... but it's Donald.

#DictatorTrump
#AmericaOrTrump",0,0,1,"['#dictatortrump', '#americaortrump']",False
1267749133378629632,2020-06-02,11:25:21,CEST,"Elinde ncil sallamak nedir lan orospuocuu !!! Hangi ada yayoruz.
#AmericaOrTrump
#BlackLivesMatter
#protests2020",0,0,0,"['#americaortrump', '#blacklivesmatter', '#protests2020']",False
1267749130950057985,2020-06-02,11:25:21,CEST,why is no one mad trump literally wants to take away your first amendment right. he wants a dictatorship and you still love him??? #AmericaOrTrump #protests2020 #bunkerbabytrump #BlackLivesMatter #donaldisoverparty,0,1,0,"['#americaortrump', '#protests2020', '#bunkerbabytrump', '#blacklivesmatter', '#donaldisoverparty']",False
1267749125505929217,2020-06-02,11:25:19,CEST,#AmericaOrTrump  pic.twitter.com/37BtWAVFlH,0,0,0,['#americaortrump'],False
1267749118291607552,2020-06-02,11:25:18,CEST,"I have one question.. what the fuck is going on in the United States right now? I can understand the protesting, but the looting, rioting, burning things to the ground.. it's terrifying. #protests2020 #BlackLivesMatter #AmericaOrTrump",0,0,0,"['#protests2020', '#blacklivesmatter', '#americaortrump']",False
